Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Midlands
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1878   58.8   38.0   28.8   57.5  128.0   75.3   32.4  152.6   66.4   87.0   82.1   50.3   157.5   214.3   260.4   235.5   857.2
1879   49.4   79.9   30.0   65.6   67.9  128.2   97.7  133.8   75.5   31.5   29.5   32.6   179.6   163.6   359.6   136.5   821.5
1880   13.0   77.5   44.9   48.3   47.5   86.4  154.1   35.0  107.8  137.7   69.9   97.5   123.1   140.7   275.5   315.3   919.5
1881   22.1   97.9   65.8   25.8   43.5   60.8   60.5  127.3   53.3   76.1   86.0   82.7   217.6   135.1   248.5   215.4   801.7
1882   65.2   59.8   50.7   95.4   52.2  105.7  102.0   62.0   65.9  139.1  112.7  103.0   207.7   198.3   269.7   317.7  1013.8
1883   91.8   84.7   29.8   45.3   40.7   87.7   83.2   37.1  131.7   80.6   95.4   35.2   279.5   115.8   208.0   307.7   843.2
1884   89.7   50.9   55.8   43.5   31.4   47.1   90.4   47.3   45.0   36.7   40.1   74.9   175.9   130.7   184.8   121.8   652.8
1885   53.1   77.8   37.0   55.4   62.0   70.2   15.2   60.6   93.1  125.2   86.7   27.3   205.8   154.4   146.0   305.0   763.7
1886  100.7   19.5   68.5   53.4  140.9   32.8   87.4   44.7   57.2  115.6   61.6  109.9   147.5   262.7   165.0   234.3   892.0
1887   63.3   19.0   40.1   30.8   49.6   28.1   31.5   45.7   69.7   57.8   58.3   50.1   192.2   120.4   105.2   185.8   543.8
1888   25.0   32.5   75.0   50.4   26.5   61.1  139.3   71.0   27.7   22.6  137.4   62.0   107.5   151.8   271.4   187.6   730.3
1889   29.4   47.3   78.0   87.7   89.6   20.2   66.1   85.7   54.8   89.2   29.5   47.7   138.6   255.3   172.0   173.5   725.1
1890   85.6   20.1   46.6   26.8   57.0   57.2   70.8   83.2   34.8   42.4   91.4   21.1   153.3   130.4   211.1   168.5   636.8
1891   54.2    3.6   39.3   47.2   84.4   62.7   66.5  120.9   48.3  142.7   71.9  109.2    79.0   170.9   250.2   262.9   851.0
1892   46.0   44.8   23.1   27.1   61.1   77.3   60.4   75.9   71.0  102.4   49.3   35.9   200.0   111.3   213.6   222.7   674.2
1893   44.8   84.1   13.7   10.2   52.3   35.8   77.0   53.9   42.2   66.7   48.7   78.8   164.7    76.2   166.7   157.6   608.2
1894   61.5   77.1   43.5   50.5   55.5   61.5   78.7   72.7   38.6   93.9   81.3   61.1   217.4   149.6   212.9   213.8   776.0
1895   92.4    7.3   58.8   53.8   17.3   35.9   98.2   69.3   23.4   80.1  103.9   65.8   160.8   129.9   203.3   207.3   706.1
1896   27.9   19.8   79.2   29.4   10.8   65.9   42.8   53.7  131.8   86.6   32.2   99.1   113.6   119.4   162.4   250.6   679.2
1897   53.4   75.1   86.9   52.6   32.6   75.1   25.9  100.9   71.7   38.2   53.0   87.8   227.6   172.2   201.9   162.9   753.3
1898   30.2   42.6   28.4   55.6   81.9   39.8   27.9   81.9   19.9   94.9   62.3   73.6   160.6   165.9   149.5   177.1   639.0
1899   98.1   58.9   27.9   65.3   63.8   45.0   41.3   32.4   85.3   73.6   51.1   60.9   230.6   157.0   118.7   210.0   703.6
1900   95.9  114.3   21.6   32.6   45.5   71.1   56.7  107.5   20.7   84.5   69.3  114.0   271.1    99.6   235.3   174.6   833.6
1901   41.9   34.4   60.9   57.6   30.1   48.5   75.1   52.4   35.0   50.6   55.4  117.3   190.3   148.6   176.0   141.1   659.3
1902   35.5   36.3   41.7   50.8   65.8   58.6   43.3   91.0   40.8   71.4   56.5   54.4   189.1   158.4   192.9   168.8   646.2
1903   71.4   47.3  100.4   46.9   88.7   65.1   76.8  110.5   86.6  178.4   52.7   45.3   173.1   236.1   252.4   317.7   970.3
1904   75.0   97.1   44.8   40.0   61.6   23.2   65.9   77.4   44.8   23.5   44.4   51.2   217.4   146.5   166.5   112.7   648.9
1905   27.2   26.9   82.9   57.4   16.6   74.9   36.4  105.6   44.1   44.2   85.1   22.2   105.3   157.0   216.9   173.3   623.5
1906  105.1   58.3   45.3   24.6   60.1   65.1   28.1   46.3   27.0  132.9   85.3   63.5   185.7   130.0   139.5   245.3   741.7
1907   32.0   39.4   38.4   57.9   88.1   84.9   70.2   67.2   18.2  141.0   63.8   89.1   134.9   184.4   222.3   222.9   790.1
1908   38.7   41.3   79.6   72.6   58.3   43.5   71.6   82.4   59.9   41.9   41.7   55.3   169.2   210.5   197.4   143.4   686.7
1909   34.1   22.3   79.4   55.1   39.2   85.3   87.3   66.1   72.0   99.4   23.1  115.8   111.7   173.7   238.7   194.5   779.1
1910   69.7   82.0   19.3   59.2   55.2   64.6   69.3  105.4   13.9   74.4  107.0  128.5   267.4   133.6   239.3   195.4   848.4
1911   27.2   51.9   45.7   32.4   35.0   61.3    9.2   50.6   48.6   64.4   80.6  137.7   207.6   113.1   121.2   193.6   644.6
1912  104.0   46.0   99.6    7.9   68.0  117.3  103.4  167.4   32.5   79.6   57.0   93.1   287.8   175.6   388.1   169.1   976.0
1913   98.2   30.0  105.7   89.1   59.5   29.5   27.8   36.0   55.1   93.0   73.4   37.1   221.4   254.3    93.3   221.5   734.4
1914   37.1   57.0   81.9   28.2   41.6   61.8   89.0   52.7   34.7   57.0   92.9  156.7   131.1   151.7   203.5   184.5   790.5
1915   88.7   97.7   27.7   29.7   58.3   30.7  132.8   71.1   28.3   58.0   63.1  144.8   343.1   115.8   234.5   149.4   830.9
1916   42.9  112.4  103.8   37.8   64.5   51.9   51.1   73.8   36.5  109.2   83.3   70.4   300.1   206.0   176.7   229.0   837.5
1917   54.1   25.8   54.9   42.6   67.5   60.0   49.0  147.7   46.2  101.7   43.5   32.5   150.3   165.0   256.6   191.3   725.3
1918   64.5   55.5   32.9   55.5   58.9   24.8   88.8   48.9  161.6   46.5   50.2   96.3   152.5   147.3   162.5   258.2   784.4
1919   97.6   64.1  116.5   51.1   27.5   28.5   71.3   68.8   50.0   63.4   49.9  113.4   258.0   195.1   168.6   163.3   802.1
1920   86.7   45.6   68.5  118.9   70.3   66.8  123.1   35.3   52.3   59.3   32.0   71.1   245.7   257.7   225.2   143.7   829.9
1921   83.9    8.1   41.8   30.9   41.2   11.4   18.6   92.8   33.0   51.3   52.7   68.1   163.1   113.9   122.8   137.0   533.9
1922   91.1   79.6   57.6   74.3   27.3   30.2  114.5  118.3   65.5   21.0   36.3   97.2   238.8   159.1   263.1   122.8   812.9
1923   48.8  129.3   45.9   61.8   60.0   16.2   85.4   73.1   73.0  101.8   66.1   79.8   275.3   167.7   174.7   240.9   841.2
1924   72.5   18.6   29.2   65.3  123.8   59.6   95.9   84.3   93.5  109.7   59.8   90.0   170.9   218.3   239.8   263.1   902.3
1925   60.2   95.7   23.2   56.2   93.3    2.2   64.9   71.0   87.6   91.6   50.8   72.3   245.9   172.7   138.1   230.0   769.0
1926   88.8   64.6   21.5   56.8   76.2   60.3   61.1   62.5   41.0   71.0  131.6   21.7   225.7   154.6   183.9   243.7   757.3
1927   70.8   62.1   69.5   53.2   33.5   97.5   82.6  117.2  121.3   62.5   85.4   64.4   154.6   156.2   297.2   269.2   919.9
1928  134.9   68.5   61.4   31.5   30.4   86.5   43.0   78.9   21.5  120.0   99.3   61.0   267.8   123.3   208.4   240.8   836.8
1929   38.1   17.9    6.7   28.5   49.3   38.7   51.5   58.1   24.0  101.2  167.2  153.5   116.9    84.6   148.2   292.4   734.7
1930  114.4   17.7   63.1   72.3   55.1   37.3  113.9   82.4   98.7   76.0   94.5   78.5   285.6   190.5   233.6   269.2   903.9
1931   57.0   71.6    8.4   92.6   86.5   99.2   96.4  118.4   75.0   24.4  107.3   33.8   207.1   187.5   314.0   206.7   870.6
1932   67.5    7.5   49.5   81.5  143.9   24.6   91.6   53.5   74.8  112.6   52.8   30.5   108.7   274.9   169.7   240.2   790.3
1933   53.5   89.3   66.9   29.6   48.5   55.0   53.2   21.4   43.3   97.2   38.0   12.9   173.4   145.0   129.6   178.5   608.8
1934   64.6   10.7   56.9   61.7   33.2   32.9   42.3   57.4   55.0   57.8   51.5  133.1    88.1   151.8   132.6   164.3   656.9
1935   30.9   78.9   21.0   89.9   24.8   87.7   19.6   45.9  119.4  113.3  132.5   85.5   242.9   135.6   153.2   365.2   849.4
1936   97.2   60.7   53.2   47.6   25.8   95.3  128.2   27.6   84.3   54.9   81.1   71.9   243.4   126.6   251.0   220.3   827.8
1937   97.8  112.5   72.9   70.5   70.8   35.3   67.3   27.9   48.6   73.2   41.7   68.4   282.2   214.3   130.5   163.5   786.9
1938   88.7   26.0   11.8    4.6   59.2   49.2   77.4   84.2   53.2  102.7   90.5   96.3   183.1    75.7   210.8   246.3   743.9
1939  138.5   42.9   49.0   56.3   31.9   52.3  126.5   67.6   27.1   91.8  120.4   50.6   277.8   137.1   246.3   239.2   854.8
1940   69.3   64.5   56.7   63.9   43.5   22.1   89.7   12.3   38.4   97.1  167.5   54.6   184.4   164.1   124.1   303.1   779.7
1941   83.9   77.8   79.9   40.1   59.1   34.9   84.6  104.4   16.1   73.8   76.2   38.8   216.2   179.0   223.9   166.1   769.5
1942   82.4   27.0   54.2   34.8   90.5   16.4   59.9   78.8   43.0   75.8   38.6   76.5   148.2   179.5   155.1   157.4   677.9
1943  122.4   37.6   25.8   31.1   73.6   56.3   37.0   65.7   69.8   60.7   52.9   35.3   236.5   130.5   159.0   183.4   668.3
1944   75.2   39.0   10.4   52.3   34.8   56.9   64.2   69.9   94.0   91.6  119.7   54.8   149.6    97.5   190.9   305.3   762.8
1945   59.0   64.8   25.5   37.5   72.0   75.2   54.2   66.7   48.5  103.2   11.0   76.6   178.5   134.9   196.1   162.7   694.1
1946   69.6   80.0   27.7   43.0   63.4   73.1   58.7  133.4  108.3   27.8  144.0   72.8   226.3   134.2   265.2   280.2   902.0
1947   60.2   48.2  146.4   66.0   56.5   49.6   67.7   13.0   41.6   13.7   62.9   64.8   181.3   268.9   130.3   118.2   690.6
1948  144.1   41.0   30.1   48.5   65.8   78.2   36.2  106.7   66.5   64.5   42.1   94.7   249.8   144.4   221.2   173.1   818.5
1949   36.9   32.7   39.8   63.1   61.2   16.1   58.9   44.0   40.1  126.7   90.2   68.3   164.3   164.1   118.9   256.9   677.9
1950   27.5  126.0   33.3   64.8   50.5   43.8   78.2   98.5  101.9   31.6  115.7   45.8   221.7   148.6   220.6   249.1   817.5
1951   73.8   86.7  102.4   60.3   83.7   30.4   38.4  119.3   59.9   26.1  168.8   78.9   206.3   246.5   188.0   254.7   928.6
1952   66.8   18.8   58.9   53.0   66.5   51.9   28.0   89.3   58.2   98.8   65.0   70.1   164.5   178.4   169.2   222.0   725.3
1953   25.3   45.4   30.8   65.0   51.7   58.6   82.3   79.2   60.0   57.4   51.7   30.6   140.8   147.5   220.1   169.1   637.9
1954   46.9   67.2   61.3   12.3   73.7   82.4   73.1  119.6   72.1  103.0  145.3   78.9   144.7   147.3   275.2   320.5   936.0
1955   64.2   49.5   61.7   29.5  103.5   80.1   19.2   18.9   40.5   48.5   57.1   77.5   192.6   194.6   118.2   146.1   650.1
1956  102.9   20.4   27.4   43.5   19.1   67.8   91.5  139.4   73.5   45.6   24.8   86.8   200.8    90.0   298.7   143.9   742.8
1957   51.8   72.6   58.5    7.0   37.2   43.7   95.1  107.7  121.9   55.5   53.9   67.6   211.2   102.7   246.5   231.3   772.6
1958   73.7  109.5   41.3   20.9   70.4  110.4  100.5   75.4  100.6   70.4   47.5   84.2   250.8   132.6   286.2   218.5   904.7
1959   90.2    6.4   55.0   77.9   25.4   37.1   50.8   29.5    3.9   66.6   87.9  130.9   180.8   158.3   117.5   158.4   661.7
1960  124.7   63.2   42.8   33.7   38.7   56.8   98.7   98.2  106.3  147.1  118.0   91.0   318.9   115.3   253.7   371.3  1019.3
1961   87.6   58.2   11.1   98.1   31.4   34.8   64.4   69.7   60.8   81.5   47.3   88.0   236.8   140.6   169.0   189.5   732.9
1962   84.1   31.4   32.4   67.3   59.2   13.6   50.9  110.0   90.0   26.3   50.3   56.0   203.5   158.8   174.4   166.7   671.4
1963   27.1   21.0   82.0   63.8   42.0   79.4   47.1   79.6   62.1   48.9  128.7   19.7   104.1   187.8   206.1   239.6   701.4
1964   23.2   26.0   87.7   54.6   48.9   69.6   50.2   43.6   24.0   42.4   39.9   80.0    68.9   191.1   163.4   106.3   590.1
1965   80.0   14.9   67.3   54.0   54.6   66.1   92.1   54.2  134.6   25.7   86.6  150.4   174.9   175.9   212.4   246.9   880.5
1966   43.2  112.5   33.8   96.5   67.0   74.1   68.5   98.5   45.4  106.2   69.6   94.8   306.1   197.2   241.0   221.2   909.9
