Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for England E and NE
Areal series, starting in 1836
Last updated 01-Apr-2026 11:35
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1878   69.1   34.1   29.5   47.8   94.5   67.5   25.3  141.0   58.2   64.6  133.9   70.6   159.5   171.7   233.8   256.7   836.0
1879   31.1   76.1   34.1   55.0   69.1  102.2  111.3   90.5   56.4   28.2   52.1   33.6   177.7   158.2   304.0   136.7   739.7
1880   11.2   59.4   45.7   59.5   42.0   67.0  135.9   46.1  122.8  138.6   76.7   87.2   104.2   147.2   248.9   338.1   892.1
1881   26.9   91.3   73.4   33.1   41.7   53.4   84.2  140.3   95.2   91.8   75.5   79.2   205.4   148.2   277.9   262.5   886.0
1882   47.2   42.1   54.8   98.2   48.7  100.7   84.9   75.8   53.8  119.9   97.3  117.0   168.4   201.7   261.4   271.0   940.4
1883   76.1   73.2   47.1   44.5   48.2   83.8  105.3   48.8  123.9   83.3   67.7   50.3   266.3   139.8   237.9   275.0   852.3
1884   95.4   44.7   53.6   46.2   31.2   19.3   97.9   32.7   45.2   42.8   44.5   71.0   190.4   131.0   149.8   132.6   624.5
1885   53.7   55.0   45.6   51.7   71.2   54.1   25.9   62.0   81.2  129.2   60.4   29.6   179.7   168.5   141.9   270.8   719.5
1886   99.1   24.1   76.6   52.3  101.3   29.8  104.6   49.2   49.7  110.8   82.5  106.1   152.7   230.2   183.6   243.1   886.1
1887   50.2   20.8   44.6   30.1   48.3    7.4   37.9   48.6   91.3   66.2   74.1   59.0   177.1   123.0    94.0   231.6   578.6
1888   28.0   40.7   90.4   53.4   23.6   56.1  140.8   63.0   38.2   27.4  118.5   42.8   127.7   167.5   259.9   184.1   723.0
1889   33.6   41.8   72.2   75.2   71.5   11.9   66.6  105.4   39.9  126.0   24.6   40.4   118.2   218.9   183.8   190.6   709.0
1890   71.2   33.2   53.6   21.5   58.9   66.1   58.7  107.3   40.7   44.7   99.5   34.5   144.8   134.0   232.1   184.8   689.9
1891   41.8    3.1   56.7   50.6   63.7   32.0   94.4  115.7   60.1   91.5   77.0   97.4    79.4   171.0   242.1   228.6   784.1
1892   38.6   59.3   32.1   37.3   77.2   97.0   49.2   88.4   63.3  149.6   39.1   28.0   195.3   146.6   234.6   251.9   759.1
1893   42.6   85.1   15.8   11.8   43.8   39.5   76.7   55.7   45.9   45.5   76.3   61.8   155.8    71.4   171.9   167.7   600.5
1894   61.8   89.1   33.9   41.5   58.9   86.6   72.7   73.6   27.5  116.2   47.3   57.5   212.7   134.3   232.9   190.9   766.6
1895  105.9   23.9   69.1   40.1   20.9   53.5  129.4   77.4   21.1  102.7   83.7   62.0   187.3   130.1   260.4   207.5   789.8
1896   29.1   20.1   71.2   26.2   19.2   65.5   57.2   50.2  103.0  131.0   40.1  110.7   111.2   116.7   172.9   274.1   723.5
1897   51.7   60.6   91.0   43.4   33.9   65.9   29.2   91.7   75.8   40.0   61.0   69.2   223.0   168.3   186.8   176.7   713.3
1898   29.8   39.6   46.8   70.2   57.4   48.1   24.0   79.3   16.7  110.0   74.1   64.7   138.6   174.4   151.3   200.9   660.6
1899   82.0   40.5   40.2   68.3   88.1   37.6   57.2   24.8   86.1   68.0   49.1   75.5   187.2   196.7   119.7   203.1   717.5
1900   91.5  117.9   28.3   39.7   40.6   78.9   42.7  134.5   25.9  114.7   83.2   87.6   284.9   108.6   256.0   223.7   885.3
1901   40.1   47.3   58.1   42.4   39.5   41.5   64.2   60.9   31.3   55.1  103.1  108.0   175.0   140.0   166.6   189.6   691.5
1902   32.0   36.3   35.9   42.3   69.4   56.9   64.0   65.1   26.0   70.2   43.0   73.7   176.3   147.5   186.0   139.2   614.7
1903   75.2   51.5   78.7   43.7   74.5   50.5   93.7   91.3   88.1  196.4   52.9   44.0   200.3   196.9   235.6   337.4   940.5
1904   58.5   72.9   48.6   40.7   68.1   32.5   57.4   83.2   38.8   21.9   55.8   54.0   175.4   157.4   173.1   116.5   632.4
1905   19.2   28.1   57.3   65.0   24.1   42.0   32.2   90.2   60.0   64.5  108.7   19.9   101.4   146.4   164.4   233.2   611.3
1906   83.4   48.3   48.1   25.0   86.0   40.5   35.7   76.9   21.1  137.0   90.0   62.1   151.6   159.1   153.1   248.1   754.1
1907   25.1   42.0   40.6   53.1   95.8   84.4   46.9   58.3   15.7  136.0   61.5   88.9   129.3   189.5   189.6   213.3   748.5
1908   42.9   51.4   85.8   65.6   54.6   27.8   73.5   58.9   64.0   43.7   41.2   41.0   183.1   206.0   160.2   148.9   650.4
1909   34.4   38.9  109.4   64.8   39.2   74.7   83.4   95.0   54.0   85.7   24.0  111.0   114.3   213.4   253.1   163.7   814.5
1910   71.7   78.9   21.4   60.1   63.1   47.1   82.0   96.4   16.6   71.2   87.3   81.6   261.6   144.6   225.5   175.1   777.4
1911   44.2   43.4   57.9   36.1   29.0   98.9   18.2   63.7   61.3   75.7   99.3  113.0   169.3   123.0   180.9   236.3   740.8
1912   83.1   51.0   74.1    6.8   67.0  128.7  102.8  135.4   54.9   78.5   69.8   69.2   247.1   148.0   366.8   203.2   921.3
1913   93.9   28.1   89.6   73.1   60.0   35.9   21.2   31.9   54.5   80.8   58.2   40.3   191.2   222.6    89.0   193.5   667.4
1914   50.7   48.4   65.1   22.3   43.4   70.5   76.9   48.4   37.9   59.0   95.3  144.6   139.4   130.7   195.8   192.2   762.4
1915   79.3   90.3   40.2   24.0   43.8   18.2  119.2   76.6   35.8   35.4   60.1  146.8   314.2   107.9   214.0   131.3   769.6
1916   42.1   96.5  105.2   42.2   74.9   60.5   66.6   77.2   45.1   93.3   95.2   80.2   285.5   222.3   204.3   233.6   879.0
1917   86.3   24.2   50.8   58.3   45.6   42.4   33.9  169.4   33.8   85.8   48.2   47.4   190.7   154.7   245.6   167.8   726.0
1918   63.5   54.1   29.3   37.9   59.7   17.4   95.4   57.9  140.0   61.6   44.2   90.5   164.9   126.9   170.7   245.8   751.5
1919   91.3   52.9   81.9   46.2   26.0   27.4   60.1   69.7   39.7  103.9   89.0   97.3   234.7   154.2   157.2   232.7   785.6
1920   79.2   42.0   74.1   98.5   79.7   34.3  110.3   46.5   42.0   52.1   32.0   88.8   218.5   252.3   191.1   126.1   779.5
1921   97.7    7.1   36.2   28.7   44.7   12.9   35.8  114.4   28.2   51.0   55.0   64.3   193.6   109.7   163.2   134.1   576.1
1922   83.7   70.1   54.1   57.7   28.1   38.1  122.0   74.3   81.8   41.9   32.0   94.0   218.1   139.9   234.5   155.7   777.9
1923   45.4  109.5   42.2   46.4   67.2   22.3   72.5   97.7   66.7   70.7   96.5   75.0   248.9   155.9   192.5   233.9   812.1
1924   59.6   29.7   26.7   44.7  112.7   49.8   97.5   69.1   73.7  104.1   44.7   80.3   164.3   184.1   216.4   222.5   792.5
1925   53.4   89.5   43.7   71.7   86.2    4.4   40.8   70.8   82.4   70.0   65.8   90.4   223.2   201.6   115.9   218.1   769.0
1926   79.5   57.5   24.5   42.1   60.1   91.4   75.1   69.6   57.2   81.3  103.4   23.4   227.5   126.8   236.0   241.9   765.2
1927   56.0   36.1   58.3   56.9   39.0   85.1   88.3  142.0  120.5   62.9   85.8   70.6   115.5   154.1   315.4   269.2   901.4
1928  117.7   51.5   72.3   26.8   39.5  105.5   33.1  102.4   20.5  104.6   85.6   51.8   239.8   138.6   241.0   210.7   811.3
1929   51.0   23.9    6.1   31.9   35.1   39.5   64.4   69.2   22.7   76.8  103.8  129.2   126.7    73.2   173.1   203.3   653.6
1930   92.8   32.0   61.1   69.9   39.4   39.1  135.7  103.6   98.2   65.0   97.2   65.4   254.0   170.4   278.4   260.5   899.5
1931   64.8   60.6   25.1   85.2   70.7  100.3  106.3   97.3   83.1   35.4   87.2   36.9   190.8   181.0   303.9   205.6   853.0
1932   48.3   19.5   57.1   61.5  114.7   24.9   91.6   50.9   74.9  106.6   41.5   38.6   104.7   233.3   167.3   223.0   730.0
1933   51.2   92.6   52.1   33.9   53.5   49.5   50.4   24.1   50.6  107.3   74.9   24.8   182.3   139.5   124.0   232.9   664.9
1934   54.0   22.1   73.5   83.7   35.4   45.5   55.8   70.9   47.4   78.4   63.1  114.4   100.9   192.5   172.2   188.9   744.0
1935   56.9   82.3   23.2   75.0   20.7   71.7   17.5   54.7  117.2  109.8  115.1   62.6   253.5   119.0   143.9   342.1   806.8
1936  104.4   74.8   45.0   41.4   40.4   90.0  102.7   49.0   76.7   56.5   79.3   56.3   241.8   126.8   241.7   212.5   816.5
1937   92.2   89.0   82.2   72.1   85.9   39.7   64.1   40.8   44.2   62.3   48.1  109.8   237.5   240.2   144.6   154.6   830.4
1938   75.8   32.7   13.9    6.6   75.7   62.7   81.4   70.9   55.7  109.7   82.8  106.2   218.3    96.1   215.0   248.2   774.0
1939  123.9   40.3   72.0   40.5   34.5   68.0   89.2   65.5   38.3  116.9   95.1   48.9   270.4   147.0   222.7   250.2   833.0
1940   49.6   52.6   61.6   42.1   30.9   19.5  152.9   27.0   43.6   89.1  107.1   64.6   151.1   134.6   199.4   239.7   740.5
1941   81.4  108.8   78.5   35.2   46.5   15.0   67.3   86.4   17.0   95.9   81.1   19.9   254.8   160.1   168.8   194.0   732.9
1942   82.6   41.6   37.9   29.6   65.9   32.3   74.5   65.2   62.1   64.5   34.9   60.3   144.1   133.4   172.1   161.5   651.4
1943  102.2   28.2   20.3   34.7   75.5   51.4   39.0   90.0   82.5   54.0   65.3   34.5   190.6   130.5   180.4   201.8   677.5
1944   58.2   55.6   14.5   55.0   43.6   63.3   69.6   72.9  127.9   81.5  127.7   54.7   148.3   113.2   205.8   337.1   824.6
1945  104.0   59.3   20.1   46.5   70.8   66.7   46.9   81.6   49.2   87.2   22.4   46.9   218.0   137.3   195.2   158.7   701.4
1946   54.2   47.9   36.3   36.2   48.7   65.0   85.3  111.8  105.3   35.7  137.1   73.7   149.1   121.2   262.2   278.1   837.3
1947   65.1   70.4  121.1   83.6   40.8   71.3   65.0    6.3   41.8   18.0   62.9   58.1   209.1   245.6   142.7   122.7   704.5
1948  162.2   40.1   28.3   46.0   47.1  106.8   33.7  110.6   64.3   46.8   36.8   70.5   260.3   121.3   251.1   148.0   793.1
1949   32.7   30.1   29.1   54.8   37.6   21.2   59.4   55.2   32.3   93.8   98.2   79.8   133.3   121.5   135.8   224.3   624.2
1950   40.6  104.1   28.5   65.5   52.2   41.7   78.2  102.8   99.6   38.5  126.3   61.9   224.5   146.3   222.6   264.4   839.9
1951   62.9   75.6   88.9   50.6   96.7   33.6   43.9  125.0   40.2   32.2  148.4   73.4   200.4   236.2   202.5   220.8   871.5
1952   59.5   17.5   55.8   38.6   43.0   47.1   34.4   67.1   94.4   80.9   77.6   66.7   150.4   137.4   148.5   253.0   682.6
1953   26.0   49.0   12.7   66.2   57.2   68.7   67.7   82.2   51.0   50.5   54.7   32.9   141.6   136.1   218.6   156.1   618.7
1954   58.6   60.2   49.3   11.7   87.8   56.8   59.0  139.0   73.7  118.2  122.0   72.5   151.7   148.8   254.8   314.0   908.9
1955   56.7   61.5   53.8   24.7   71.0   63.5   28.9   23.0   35.1   50.4   42.6   87.3   190.8   149.4   115.4   128.1   598.5
1956  105.6   51.8   27.3   31.0   19.8   79.8   92.7  171.3   61.3   42.9   28.0   66.4   244.8    78.1   343.7   132.1   777.8
1957   58.3   68.9   43.9   11.0   40.3   48.8   92.1  104.5   94.3   57.1   51.7   61.8   193.6    95.1   245.4   203.1   732.5
1958   64.6   99.8   61.0   33.9   77.0   93.3   98.9   70.3   65.0   50.4   21.6   93.5   226.1   171.9   262.4   137.0   829.1
